time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
12/30/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
12/31/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/1/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/2/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/3/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/4/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/5/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/6/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/7/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/8/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/9/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/10/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/11/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/12/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/13/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/14/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/15/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/16/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/17/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/18/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/19/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/20/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/21/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/22/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/23/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/24/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/25/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/26/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/27/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/28/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
